ID,City,state_name,state_abbr,Country,year,population,longitude,latitude,Walking,Cycling,Active,Bus,Car,IncomeGroup,Region,LastObservation,metro_names,DataSource,DataLink
ID0548,Shkoder,,,Albania,2011,110000,19.5250000,42.0620000,0.440000,0.290000,0.730000,0.030000,0.240000,Upper middle income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0115,Buenos Aires,,,Argentina,2010,15370000,-58.5400000,-34.6200000,0.240000,0.030000,0.270000,0.490000,0.240000,Upper middle income,Latin America & Caribbean,YES,,Local Governments for Sustainability - ICLEI,https://iclei.org/ 
ID0518,Rosario,,,Argentina,2008,1750000,-60.6500000,-32.9600000,0.200000,0.050000,0.250000,0.400000,0.350000,Upper middle income,Latin America & Caribbean,YES,,Local Governments for Sustainability - ICLEI,https://iclei.org/ 
ID0534,Santa Fe,,,Argentina,2012,570000,-105.9377990,35.6869752,0.400000,0.100000,0.500000,0.140000,0.360000,Upper middle income,Latin America & Caribbean,YES,,Local Governments for Sustainability - ICLEI,https://iclei.org/ 
ID0012,Adelaide,,,Australia,2016,1288681,138.5400000,-34.9500000,0.030000,0.010000,0.040000,0.110000,0.850000,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0102,Brisbane,,,Australia,2016,2209000,153.0600000,-27.5100000,0.040000,0.010000,0.050000,0.140000,0.810000,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0121,Canberra,,,Australia,2016,424000,149.1500000,-35.3200000,0.049505,0.029703,0.079208,0.079208,0.841584,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0416,Melbourne,,,Australia,2016,4453000,145.0600000,-37.8100000,0.039604,0.019802,0.059406,0.188119,0.752475,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0488,Perth,,,Australia,2016,1958000,115.8700000,-31.9800000,0.030000,0.010000,0.040000,0.120000,0.840000,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0571,Sydney,,,Australia,2016,5312000,151.1100000,-33.8900000,0.050000,0.010000,0.060000,0.270000,0.670000,High income,East Asia & Pacific,YES,,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/
ID0572,Sydney,,,Australia,2011,5312000,151.1100000,-33.8900000,0.247525,0.029703,0.277230,0.297030,0.425740,High income,East Asia & Pacific,NO,,Local Governments for Sustainability - ICLEI,https://iclei.org/ 
ID0096,Bregenz,,,Austria,2014,28412,9.7450000,47.5040000,0.250000,0.200000,0.450000,0.150000,0.400000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0208,Feldkirch,,,Austria,2003,31045,9.5880000,47.2540000,0.180000,0.110000,0.290000,0.140000,0.570000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0256,Graz,,,Austria,2013,257328,15.4420000,47.0620000,0.189000,0.145000,0.334000,0.198000,0.468000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0257,Graz,,,Austria,2008,257328,15.4420000,47.0620000,0.188000,0.161000,0.349000,0.199000,0.452000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0258,Graz,,,Austria,2004,257328,15.4420000,47.0620000,0.193000,0.141000,0.334000,0.193000,0.473000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0259,Graz,,,Austria,1998,257328,15.4420000,47.0620000,0.213213,0.142142,0.355360,0.182180,0.462460,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0260,Graz,,,Austria,1991,257328,15.4420000,47.0620000,0.236000,0.125000,0.361000,0.179000,0.460000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0261,Graz,,,Austria,1988,257328,15.4420000,47.0620000,0.253000,0.117000,0.370000,0.176000,0.454000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0262,Graz,,,Austria,1982,257328,15.4420000,47.0620000,0.310000,0.083000,0.393000,0.181000,0.426000,High income,Europe & Central Asia,NO,,Civitas,https://civitas.eu/sites/default/files/civitas_forum19_session_11_barbara_urban.pdf
ID0255,Graz,,,Austria,2018,257328,15.4420000,47.0620000,0.190000,0.190000,0.380000,0.200000,0.420000,High income,Europe & Central Asia,YES,,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit
ID0284,Hartberg,,,Austria,2013,6445,15.9860000,47.2830000,0.326733,0.079208,0.405940,0.049500,0.544550,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0303,Innsbruck,,,Austria,2011,120000,11.3990000,47.2480000,0.292929,0.222222,0.515150,0.161620,0.323230,High income,Europe & Central Asia,YES,,The Potential of cycling for Sustainable Mobility in Metropolitan Regions ,https://www.sciencedirect.com/science/article/pii/S2352146514002907
ID0304,Innsbruck,,,Austria,2003,120000,11.3990000,47.2480000,0.270000,0.140000,0.410000,0.160000,0.430000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0305,Innsbruck,,,Austria,1993,120000,11.3990000,47.2480000,0.290000,0.130000,0.420000,0.150000,0.430000,High income,Europe & Central Asia,NO,,The Potential of cycling for Sustainable Mobility in Metropolitan Regions ,https://www.sciencedirect.com/science/article/pii/S2352146514002907
ID0312,Judenburg,,,Austria,2009,9261,14.6500000,47.1820000,0.200000,0.040000,0.240000,0.040000,0.720000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0363,Leoben,,,Austria,2011,27545,15.0940000,47.3640000,0.260000,0.150000,0.410000,0.090000,0.500000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0373,Linz,,,Austria,2012,190000,14.3110000,48.2950000,0.218000,0.072000,0.290000,0.210000,0.500000,High income,Europe & Central Asia,YES,,Ergebnis der Verkehrserhebung 2012,https://www.land-oberoesterreich.gv.at/Mediendateien/Formulare/Dokumente%20SVD%20Abt_GVoeVerk/Kurzbericht_Stadt_Linz.pdf
ID0374,Linz,,,Austria,2008,190000,14.3110000,48.2950000,0.220000,0.050000,0.270000,0.240000,0.490000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0375,Linz,,,Austria,2001,190000,14.3110000,48.2950000,0.224000,0.053000,0.277000,0.218000,0.505000,High income,Europe & Central Asia,NO,,Ergebnis der Verkehrserhebung 2012,https://www.land-oberoesterreich.gv.at/Mediendateien/Formulare/Dokumente%20SVD%20Abt_GVoeVerk/Kurzbericht_Stadt_Linz.pdf
ID0529,Salzburg,,,Austria,2005,148000,13.0440000,47.8050000,0.220000,0.160000,0.380000,0.160000,0.460000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0530,Salzburg,,,Austria,2001,147571,13.0440000,47.8050000,0.178218,0.108911,0.287130,0.148510,0.564360,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0558,St. Pölten,,,Austria,2012,52160,15.6270000,48.1940000,0.160000,0.110000,0.270000,0.170000,0.560000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0616,Vienna,,,Austria,2015,1800000,16.3930000,48.2220000,0.270000,0.070000,0.340000,0.390000,0.270000,High income,Europe & Central Asia,YES,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0617,Vienna,,,Austria,2014,1800000,16.3930000,48.2220000,0.260000,0.070000,0.330000,0.390000,0.280000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0618,Vienna,,,Austria,2013,1700000,16.3930000,48.2220000,0.270000,0.060000,0.330000,0.390000,0.280000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0619,Vienna,,,Austria,2012,1700000,16.3930000,48.2220000,0.280000,0.060000,0.340000,0.390000,0.270000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0621,Vienna,,,Austria,2010,1600000,16.3930000,48.2220000,0.280000,0.050000,0.330000,0.360000,0.310000,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0620,Vienna,,,Austria,2011,1700000,16.3930000,48.2220000,0.274725,0.059940,0.334670,0.381620,0.283720,High income,Europe & Central Asia,NO,,The European Platform on Mobility Management,https://epomm.eu/ 
ID0001,Vorarlberg (Land/Region),,,Austria,2013,375282,9.9330000,47.4000000,0.190000,0.150000,0.340000,0.140000,0.520000,High income,Europe & Central Asia,NO,,Mobilitätserhebung Vorarlberg 2017,https://vorarlberg.at/documents/302033/472144/Verkehrsbefragungkontiv2017.pdf/8a3127a1-7583-112b-0ed0-bd6143b734e1?t=1616166076423
ID0002,Vorarlberg (Land/Region),,,Austria,2008,375282,9.9330000,47.4000000,0.180000,0.150000,0.330000,0.130000,0.540000,High income,Europe & Central Asia,NO,,Mobilitätserhebung Vorarlberg 2017,https://vorarlberg.at/documents/302033/472144/Verkehrsbefragungkontiv2017.pdf/8a3127a1-7583-112b-0ed0-bd6143b734e1?t=1616166076423
