CityID,ObsID,year,LastObservation,City,metro_names,Country,continent,region,subregion,state_name,state_abbr,population,longitude,latitude,Walking,Cycling,Motorbykes,Active,Bus,Car,IncomeGroup,DataSource,DataLink,GDPPP 2022
M10001,ID0772,2001,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.101101101,0.05005005,0.013013013,0.151151151,0.125125125,0.723723724,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0005,2003,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,256605,6.083862,50.776351,0.24,0.1,NA,0.34,0.14,0.52,High income,The European Platform on Mobility Management,https://epomm.eu/ ,52745.75571
M10001,ID0773,2005,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.135135135,0.086086086,0.016016016,0.221221221,0.232232232,0.546546547,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0774,2006,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.135270541,0.086172345,0.016032064,0.221442886,0.23246493,0.546092184,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0775,2007,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.135406219,0.086258776,0.016048144,0.221664995,0.233701103,0.544633902,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0776,2008,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.135406219,0.086258776,0.016048144,0.221664995,0.233701103,0.544633902,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0777,2009,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.135270541,0.086172345,0.016032064,0.221442886,0.234468938,0.544088176,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0778,2012,NO,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.133333333,0.08989899,NA,0.223232323,0.215151515,0.561616162,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10001,ID0779,2016,YES,Aachen,Aachen,Germany,Europe,Europe,Western Europe,,,252136,6.083862,50.776351,0.121878122,0.104895105,0.008991009,0.226773227,0.218781219,0.554445554,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10002,ID0781,2003,NO,Aarhus,Aarhus,Denmark,Europe,Europe,Northern Europe,,,352315,10.19,56.14,0.07311985,0.28142276,0,0.35454261,0.197246271,0.448211119,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,67967.38187
M10002,ID0008,2004,YES,Aarhus,Aarhus,Denmark,Europe,Europe,Northern Europe,,,331000,10.19,56.14,0.072917,0.28125,NA,0.354167,0.197917,0.447916,High income,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit,67967.38187
M10003,ID0009,2008,NO,Aberdeen,Aberdeen,United Kingdom,Europe,Europe,Northern Europe,,,211000,-2.095,57.149,0.29703,0.019802,NA,0.31683,0.17822,0.50495,High income,The European Platform on Mobility Management,https://epomm.eu/ ,48866.60396
M10003,ID0782,2011,YES,Aberdeen,Aberdeen,United Kingdom,Europe,Europe,Northern Europe,,,229320,-2.095,57.149,0.172601894,0.020584603,0.004940305,0.193186497,0.14481268,0.662000823,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,48866.60396
